"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\pages\CommunitiesLanding.page","1","90","VfCsrf","Avoid calling VF action upon page load","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_visualforce_security.html#vfcsrf","Security","pmd"
"2","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\pages\CommunitiesLogin.page","1","75","VfCsrf","Avoid calling VF action upon page load","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_visualforce_security.html#vfcsrf","Security","pmd"
"3","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\CollaborationGroupHelper.cls","1","1","ApexSharingViolations","Apex classes should declare a sharing model if DML or SOQL/SOSL is used","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexsharingviolations","Security","pmd"
"4","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\CollaborationGroupHelper.cls","6","45","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"5","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\CollaborationGroupHelper.cls","18","27","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"6","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\ContentDocumentLinkHelper.cls","1","1","ApexSharingViolations","Apex classes should declare a sharing model if DML or SOQL/SOSL is used","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexsharingviolations","Security","pmd"
"7","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\CourseTriggerHelper.cls","26","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"8","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\CourseTriggerHelper.cls","38","30","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"9","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\InvoiceGenerator.cls","1","1","ApexSharingViolations","Apex classes should declare a sharing model if DML or SOQL/SOSL is used","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexsharingviolations","Security","pmd"
"10","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\InvoiceGenerator.cls","4","23","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"11","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\InvoiceGenerator.cls","5","38","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"12","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\InvoiceGenerator.cls","18","9","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"13","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\InvoicePDFController.cls","1","1","ApexSharingViolations","Apex classes should declare a sharing model if DML or SOQL/SOSL is used","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexsharingviolations","Security","pmd"
"14","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\InvoicePDFController.cls","15","17","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"15","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\InvoicePDFController.cls","16","22","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"16","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\InvoicePDFController.cls","17","19","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"17","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\InvoicePDFController.cls","18","26","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"18","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\InvoicePDFController.cls","19","26","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
